Date,Open,High,Low,Close,Adj Close,Volume
1990-08-13,0.339286,0.357143,0.338170,0.356027,0.287330,156116800
1990-08-14,0.357143,0.357143,0.350446,0.354911,0.286429,98168000
1990-08-15,0.357143,0.359375,0.350446,0.350446,0.282826,92052800
1990-08-16,0.348214,0.353795,0.343750,0.343750,0.277422,123894400
1990-08-17,0.343750,0.343750,0.319196,0.325893,0.263010,246108800
1990-08-20,0.325893,0.334821,0.323661,0.328125,0.265612,75062400
1990-08-21,0.319196,0.328125,0.314732,0.323661,0.261999,161044800
1990-08-22,0.330357,0.330357,0.311384,0.313616,0.253867,122718400
1990-08-23,0.305804,0.312500,0.299107,0.308036,0.249350,143696000
1990-08-24,0.314732,0.321429,0.310268,0.316964,0.256577,73416000
1990-08-27,0.328125,0.339286,0.323661,0.337054,0.272840,117465600
1990-08-28,0.334821,0.342634,0.332589,0.340402,0.275550,80192000
1990-08-29,0.339286,0.340402,0.328125,0.332589,0.269226,150931200
1990-08-30,0.332589,0.334821,0.321429,0.323661,0.261999,122595200
1990-08-31,0.321429,0.332589,0.321429,0.330357,0.267419,99456000
1990-09-04,0.325893,0.334821,0.325893,0.330357,0.267419,82745600
1990-09-05,0.332589,0.332589,0.319196,0.321429,0.260192,64052800
1990-09-06,0.316964,0.321429,0.314732,0.319196,0.258384,87628800
1990-09-07,0.316964,0.328125,0.313616,0.324777,0.262902,58172800
1990-09-10,0.330357,0.330357,0.319196,0.319196,0.258384,75980800
1990-09-11,0.321429,0.322545,0.301339,0.303571,0.245736,178270400
1990-09-12,0.308036,0.308036,0.299107,0.303571,0.245736,100408000
1990-09-13,0.308036,0.310268,0.294643,0.301339,0.243929,97260800
1990-09-14,0.299107,0.305804,0.296875,0.303571,0.245736,113915200
1990-09-17,0.303571,0.314732,0.299107,0.301339,0.243929,77672000
1990-09-18,0.301339,0.301339,0.294643,0.297991,0.241219,124611200
1990-09-19,0.296875,0.301339,0.285714,0.290179,0.234895,182459200
1990-09-20,0.287946,0.287946,0.279018,0.282366,0.228571,100934400
1990-09-21,0.285714,0.290179,0.276786,0.281250,0.227667,153865600
1990-09-24,0.281250,0.281250,0.265625,0.270089,0.218633,138499200
1990-09-25,0.272321,0.274554,0.261161,0.267857,0.216826,157953600
1990-09-26,0.267857,0.272321,0.265625,0.265625,0.215019,94136000
1990-09-27,0.267857,0.272321,0.250000,0.252232,0.204178,142340800
1990-09-28,0.254464,0.258929,0.243304,0.258929,0.209599,176041600
1990-10-01,0.263393,0.276786,0.261161,0.272321,0.220440,155657600
1990-10-02,0.276786,0.285714,0.263393,0.264509,0.214116,270984000
1990-10-03,0.265625,0.265625,0.238839,0.241071,0.195143,268240000
1990-10-04,0.238839,0.250000,0.234375,0.250000,0.202371,213494400
1990-10-05,0.241071,0.256696,0.241071,0.250000,0.202371,99489600
1990-10-08,0.256696,0.261161,0.252232,0.260045,0.210502,61532800
1990-10-09,0.254464,0.258929,0.247768,0.250000,0.202371,120579200
1990-10-10,0.243304,0.250000,0.232143,0.236607,0.191530,147907200
1990-10-11,0.238839,0.248884,0.227679,0.247768,0.200564,205979200
1990-10-12,0.252232,0.254464,0.241071,0.252232,0.204178,228648000
1990-10-15,0.254464,0.256696,0.237723,0.247768,0.200564,201017600
1990-10-16,0.245536,0.245536,0.216518,0.223214,0.180688,305233600
1990-10-17,0.225446,0.236607,0.223214,0.236607,0.191530,309064000
1990-10-18,0.236607,0.256696,0.236607,0.254464,0.205985,315000000
1990-10-19,0.279018,0.283482,0.270089,0.280134,0.226764,933732800
1990-10-22,0.281250,0.281250,0.272321,0.277902,0.224957,252739200
1990-10-23,0.276786,0.281250,0.270089,0.276786,0.224054,167048000
1990-10-24,0.274554,0.276786,0.267857,0.272321,0.220440,141825600
1990-10-25,0.270089,0.279018,0.264509,0.267857,0.216826,153462400
1990-10-26,0.265625,0.279018,0.265625,0.267857,0.216826,134198400
1990-10-29,0.270089,0.272321,0.265625,0.266741,0.215923,123480000
1990-10-30,0.265625,0.274554,0.257813,0.271205,0.219536,98044800
1990-10-31,0.272321,0.284598,0.270089,0.274554,0.222247,148758400
1990-11-01,0.272321,0.276786,0.265625,0.272321,0.220440,90652800
1990-11-02,0.272321,0.289063,0.272321,0.283482,0.229474,148612800
1990-11-05,0.287946,0.299107,0.285714,0.296875,0.240316,184475200
1990-11-06,0.299107,0.308036,0.296875,0.299107,0.242122,184766400
1990-11-07,0.299107,0.301339,0.291295,0.296875,0.240316,202977600
1990-11-08,0.294643,0.312500,0.294643,0.308036,0.249350,199248000
1990-11-09,0.312500,0.319196,0.308036,0.316964,0.256577,198228800
1990-11-12,0.316964,0.328125,0.314732,0.323661,0.261999,145051200
1990-11-13,0.323661,0.325893,0.319196,0.321429,0.260192,141948800
1990-11-14,0.319196,0.332589,0.319196,0.330357,0.267419,190747200
1990-11-15,0.328125,0.330357,0.316964,0.321429,0.260192,161772800
1990-11-16,0.319196,0.321429,0.310268,0.313616,0.254716,183008000
1990-11-19,0.316964,0.324777,0.314732,0.324777,0.263781,223910400
1990-11-20,0.325893,0.328125,0.314732,0.316964,0.257435,153630400
1990-11-21,0.314732,0.323661,0.310268,0.322545,0.261968,123211200
1990-11-23,0.323661,0.330357,0.321429,0.324777,0.263781,53200000
1990-11-26,0.321429,0.330357,0.321429,0.328125,0.266500,81457600
1990-11-27,0.330357,0.341518,0.328125,0.334821,0.271938,164584000
1990-11-28,0.337054,0.343750,0.328125,0.328125,0.266500,174910400
1990-11-29,0.330357,0.330357,0.323661,0.328125,0.266500,126705600
1990-11-30,0.323661,0.332589,0.323661,0.328125,0.266500,121508800
1990-12-03,0.332589,0.341518,0.330357,0.340402,0.276471,165401600
1990-12-04,0.334821,0.345982,0.334821,0.343750,0.279191,152152000
1990-12-05,0.343750,0.359375,0.338170,0.358259,0.290975,218388800
1990-12-06,0.368304,0.372768,0.361607,0.368304,0.299133,532246400
1990-12-07,0.366071,0.381696,0.366071,0.379464,0.308197,329660800
1990-12-10,0.377232,0.379464,0.370536,0.372768,0.302759,250588800
1990-12-11,0.368304,0.370536,0.357143,0.357143,0.290068,347883200
1990-12-12,0.354911,0.357143,0.348214,0.353795,0.287349,242356800
1990-12-13,0.352679,0.366071,0.352679,0.363839,0.295507,160731200
1990-12-14,0.359375,0.361607,0.352679,0.356027,0.289162,87068800
1990-12-17,0.348214,0.361607,0.348214,0.358259,0.290975,131107200
1990-12-18,0.366071,0.379464,0.363839,0.377232,0.306384,220987200
1990-12-19,0.379464,0.379464,0.367188,0.373884,0.303665,140660800
1990-12-20,0.368304,0.397321,0.368304,0.392857,0.319075,401072000
1990-12-21,0.395089,0.404018,0.388393,0.401786,0.326327,346136000
1990-12-24,0.399554,0.401786,0.392857,0.392857,0.319075,58721600
1990-12-26,0.392857,0.395089,0.383929,0.390625,0.317262,103073600
1990-12-27,0.386161,0.392857,0.386161,0.388393,0.315449,97652800
1990-12-28,0.386161,0.388393,0.381696,0.383929,0.311823,63929600
1990-12-31,0.383929,0.386161,0.381696,0.383929,0.311823,44273600
1991-01-02,0.381696,0.392857,0.375000,0.388393,0.315449,154985600
1991-01-03,0.388393,0.395089,0.383929,0.383929,0.311823,150180800
1991-01-04,0.383929,0.395089,0.383929,0.386161,0.313636,141523200
1991-01-07,0.383929,0.404018,0.383929,0.386161,0.313636,310800000
1991-01-08,0.390625,0.391741,0.379464,0.386161,0.313636,218691200
1991-01-09,0.395089,0.410714,0.390625,0.404018,0.328140,467264000
1991-01-10,0.408482,0.421875,0.408482,0.420759,0.341736,435321600
1991-01-11,0.419643,0.421875,0.410714,0.419643,0.340830,307652800
1991-01-14,0.410714,0.417411,0.410714,0.412946,0.335391,210840000
1991-01-15,0.415179,0.417411,0.410714,0.417411,0.339017,192057600
1991-01-16,0.419643,0.446429,0.417411,0.444196,0.360772,390633600
1991-01-17,0.468750,0.470982,0.437500,0.457589,0.371649,591673600
1991-01-18,0.435268,0.453125,0.433036,0.448661,0.364398,943241600
1991-01-21,0.444196,0.459821,0.444196,0.453125,0.368024,324307200
1991-01-22,0.455357,0.468750,0.450893,0.457589,0.371649,427728000
1991-01-23,0.457589,0.466518,0.455357,0.462054,0.375276,244260800
1991-01-24,0.459821,0.470982,0.459821,0.465402,0.377995,233934400
1991-01-25,0.464286,0.478795,0.464286,0.477679,0.387966,223809600
1991-01-28,0.475446,0.493304,0.475446,0.486607,0.395218,273481600
1991-01-29,0.484375,0.486607,0.466518,0.479911,0.389779,215555200
1991-01-30,0.475446,0.497768,0.475446,0.495536,0.402470,336772800
1991-01-31,0.495536,0.500000,0.488839,0.495536,0.402470,242592000
1991-02-01,0.495536,0.516741,0.495536,0.497768,0.404282,444550400
1991-02-04,0.497768,0.500000,0.491071,0.493304,0.400657,267848000
1991-02-05,0.493304,0.517857,0.488839,0.515625,0.418786,356115200
1991-02-06,0.515625,0.520089,0.504464,0.507813,0.412441,222566400
1991-02-07,0.508929,0.524554,0.497768,0.515625,0.418786,520172800
1991-02-08,0.513393,0.537946,0.513393,0.534598,0.434196,313555200
1991-02-11,0.535714,0.549107,0.533482,0.547991,0.445073,323030400
1991-02-12,0.544643,0.546875,0.530134,0.535714,0.435102,224750400
1991-02-13,0.535714,0.537946,0.517857,0.535714,0.435102,255550400
1991-02-14,0.535714,0.535714,0.506696,0.510045,0.414254,377675200
1991-02-15,0.511161,0.522321,0.511161,0.514509,0.418759,365612800
1991-02-19,0.513393,0.537946,0.512277,0.535714,0.436017,226251200
1991-02-20,0.531250,0.551339,0.529018,0.544643,0.443285,213640000
1991-02-21,0.546875,0.555804,0.524554,0.526786,0.428751,190870400
1991-02-22,0.526786,0.551339,0.522321,0.533482,0.434201,232568000
1991-02-25,0.537946,0.540179,0.513393,0.517857,0.421484,359273600
1991-02-26,0.513393,0.524554,0.504464,0.520089,0.423300,250017600
1991-02-27,0.520089,0.522321,0.513393,0.520089,0.423300,174372800
1991-02-28,0.520089,0.522321,0.502232,0.511161,0.416034,227360000
1991-03-01,0.508929,0.526786,0.508929,0.515625,0.419667,126134400
1991-03-04,0.517857,0.524554,0.508929,0.521205,0.424209,88356800
1991-03-05,0.526786,0.564732,0.526786,0.563616,0.458727,441448000
1991-03-06,0.571429,0.585938,0.561384,0.562500,0.457818,523958400
1991-03-07,0.566964,0.602679,0.564732,0.600446,0.488703,321753600
1991-03-08,0.604911,0.609375,0.580357,0.580357,0.472352,322201600
1991-03-11,0.575893,0.578125,0.555804,0.566964,0.461452,175369600
1991-03-12,0.562500,0.569196,0.558036,0.561384,0.456910,233676800
1991-03-13,0.560268,0.593750,0.560268,0.591518,0.481436,174552000
1991-03-14,0.595982,0.602679,0.575893,0.582589,0.474169,227068800
1991-03-15,0.587054,0.593750,0.582589,0.591518,0.481436,204836800
1991-03-18,0.587054,0.609375,0.587054,0.604911,0.492337,214009600
1991-03-19,0.593750,0.627232,0.587054,0.620536,0.505054,422195200
1991-03-20,0.618304,0.620536,0.597098,0.604911,0.492337,361704000
1991-03-21,0.609375,0.613839,0.569196,0.578125,0.470536,296800000
1991-03-22,0.571429,0.578125,0.555804,0.564732,0.459635,338128000
1991-03-25,0.566964,0.580357,0.564732,0.575893,0.468719,135856000
1991-03-26,0.578125,0.627232,0.578125,0.625000,0.508687,333625600
1991-03-27,0.625000,0.627232,0.611607,0.618304,0.503237,190220800
1991-03-28,0.618304,0.625000,0.604911,0.607143,0.494153,78702400
1991-04-01,0.607143,0.620536,0.602679,0.611607,0.497787,117924800
1991-04-02,0.616071,0.649554,0.611607,0.649554,0.528672,292924800
1991-04-03,0.647321,0.649554,0.625000,0.625000,0.508687,240128000
1991-04-04,0.625000,0.642857,0.620536,0.638393,0.519588,168436800
1991-04-05,0.640625,0.640625,0.613839,0.619420,0.504146,155411200
1991-04-08,0.618304,0.625000,0.613839,0.625000,0.508687,72475200
1991-04-09,0.622768,0.625000,0.609375,0.613839,0.499603,119448000
1991-04-10,0.611607,0.618304,0.595982,0.597098,0.485978,216406400
1991-04-11,0.604911,0.637277,0.602679,0.633929,0.515955,355588800
1991-04-12,0.638393,0.654018,0.622768,0.640625,0.521404,367718400
1991-04-15,0.551339,0.575893,0.535714,0.555804,0.452369,1700384000
1991-04-16,0.564732,0.575893,0.558036,0.573661,0.466903,620782400
1991-04-17,0.580357,0.580357,0.553571,0.564732,0.459635,322403200
1991-04-18,0.560268,0.562500,0.542411,0.544643,0.443285,247363200
1991-04-19,0.544643,0.549107,0.531250,0.532366,0.433292,287302400
1991-04-22,0.531250,0.553571,0.524554,0.549107,0.446918,257017600
1991-04-23,0.555804,0.562500,0.537946,0.549107,0.446918,237294400
1991-04-24,0.551339,0.553571,0.540179,0.542411,0.441468,105448000
1991-04-25,0.533482,0.533482,0.522321,0.522321,0.425117,315380800
1991-04-26,0.522321,0.526786,0.515625,0.523438,0.426026,125059200
1991-04-29,0.522321,0.537946,0.520089,0.520089,0.423300,206707200
1991-04-30,0.515625,0.520089,0.486607,0.491071,0.399682,711446400
1991-05-01,0.428571,0.437500,0.419643,0.421875,0.343364,1868372800
1991-05-02,0.426339,0.444196,0.424107,0.437500,0.356081,811126400
1991-05-03,0.437500,0.441964,0.430804,0.437500,0.356081,243712000
1991-05-06,0.433036,0.450893,0.430804,0.448661,0.365165,212329600
1991-05-07,0.455357,0.457589,0.450893,0.452009,0.367890,270480000
1991-05-08,0.453125,0.453125,0.439732,0.444196,0.361531,176780800
1991-05-09,0.446429,0.459821,0.444196,0.453125,0.368798,238212800
1991-05-10,0.459821,0.475446,0.453125,0.457589,0.372432,241729600
1991-05-13,0.466518,0.477679,0.459821,0.470982,0.383332,244944000
1991-05-14,0.470982,0.479911,0.468750,0.477679,0.388783,216944000
1991-05-15,0.459821,0.464286,0.437500,0.450893,0.366982,518347200
1991-05-16,0.455357,0.457589,0.433036,0.437500,0.356081,382132800
1991-05-17,0.435268,0.435268,0.415179,0.419643,0.341547,471060800
1991-05-20,0.421875,0.424107,0.392857,0.395089,0.322386,262169600
1991-05-21,0.404018,0.415179,0.399554,0.404018,0.329671,349798400
1991-05-22,0.408482,0.415179,0.406250,0.412946,0.336957,227270400
1991-05-23,0.415179,0.417411,0.399554,0.402902,0.328761,208656000
1991-05-24,0.406250,0.410714,0.401786,0.409598,0.334225,97126400
1991-05-28,0.410714,0.412946,0.404018,0.410714,0.335135,171438400
1991-05-29,0.412946,0.426339,0.409598,0.419643,0.342421,384003200
1991-05-30,0.419643,0.426339,0.415179,0.425223,0.346974,158345600
1991-05-31,0.424107,0.426339,0.412946,0.419643,0.342421,217862400
1991-06-03,0.419643,0.441964,0.417411,0.439732,0.358813,220068800
1991-06-04,0.441964,0.441964,0.433036,0.438616,0.357903,184284800
1991-06-05,0.439732,0.439732,0.426339,0.428571,0.349706,133291200
1991-06-06,0.430804,0.430804,0.415179,0.416295,0.339689,168504000
1991-06-07,0.412946,0.419643,0.407366,0.411830,0.336046,152745600
1991-06-10,0.410714,0.420759,0.408482,0.410714,0.335135,167440000
1991-06-11,0.401786,0.406250,0.395089,0.398438,0.325118,188563200
1991-06-12,0.392857,0.399554,0.368304,0.378348,0.308725,435635200
1991-06-13,0.379464,0.383929,0.372768,0.376116,0.306904,211366400
1991-06-14,0.381696,0.381696,0.363839,0.367188,0.299619,225288000
1991-06-17,0.366071,0.377232,0.366071,0.375000,0.305993,166600000
1991-06-18,0.377232,0.386161,0.370536,0.376116,0.306904,244686400
1991-06-19,0.372768,0.377232,0.368304,0.372768,0.304172,178942400
1991-06-20,0.368304,0.375000,0.363839,0.375000,0.305993,144043200
1991-06-21,0.375000,0.379464,0.372768,0.375000,0.305993,206012800
1991-06-24,0.372768,0.377232,0.368304,0.372768,0.304172,207984000
1991-06-25,0.375000,0.383929,0.372768,0.378348,0.308725,227920000
1991-06-26,0.381696,0.388393,0.377232,0.383929,0.313279,250443200
1991-06-27,0.379464,0.381696,0.372768,0.379464,0.309636,151200000
1991-06-28,0.377232,0.379464,0.359375,0.370536,0.302351,226643200
1991-07-01,0.377232,0.383929,0.372768,0.379464,0.309636,194824000
1991-07-02,0.377232,0.381696,0.372768,0.377232,0.307814,120142400
1991-07-03,0.377232,0.388393,0.372768,0.385045,0.314190,310374400
1991-07-05,0.383929,0.410714,0.381696,0.407366,0.332403,331553600
1991-07-08,0.404018,0.421875,0.401786,0.417411,0.340600,307081600
1991-07-09,0.421875,0.430804,0.415179,0.418527,0.341511,226441600
1991-07-10,0.424107,0.430804,0.417411,0.421875,0.344242,156576000
1991-07-11,0.419643,0.421875,0.410714,0.417411,0.340600,145913600
1991-07-12,0.421875,0.421875,0.412946,0.417411,0.340600,132753600
1991-07-15,0.417411,0.417411,0.406250,0.406250,0.331493,137984000
1991-07-16,0.406250,0.408482,0.388393,0.390625,0.318743,222992000
1991-07-17,0.388393,0.397321,0.377232,0.379464,0.309636,208936000
1991-07-18,0.392857,0.402902,0.383929,0.400670,0.326940,398316800
1991-07-19,0.404018,0.412946,0.401786,0.410714,0.335135,128419200
1991-07-22,0.408482,0.412946,0.406250,0.410714,0.335135,108673600
1991-07-23,0.412946,0.415179,0.397321,0.401786,0.327850,133056000
1991-07-24,0.404018,0.408482,0.397321,0.401786,0.327850,131454400
